metric_id,band_name,month,total_streams,monthly_listeners,playlist_adds,social_media_followers
"498","Unleashed Fury","2024-01","49305","1972","431","903"
"499","Unleashed Fury","2024-02","42285","1761","400","440"
"500","Unleashed Fury","2024-03","43944","2441","494","681"
"501","Unleashed Fury","2024-04","42247","2640","202","482"
"502","Unleashed Fury","2024-05","50831","3176","568","1245"
"503","Unleashed Fury","2024-06","48822","2034","345","1104"
"504","Unleashed Fury","2024-07","64683","2940","242","565"
"505","Vortex","2023-08","48402","2200","231","779"
"506","Vortex","2023-09","53365","2134","311","412"
"507","Vortex","2023-10","48335","3222","322","314"
"508","Vortex","2023-11","46688","1945","369","603"
"509","Vortex","2023-12","51070","2127","238","466"
"510","Vortex","2024-01","46931","2470","156","563"
"511","Vortex","2024-02","40529","2533","385","1188"
"512","Vortex","2024-03","42861","1714","137","487"
"513","Vortex","2024-04","40761","1698","203","554"
"514","Vortex","2024-05","53463","2227","422","437"
"515","Vortex","2024-06","59357","3491","197","1115"
"516","Vortex","2024-07","72406","4022","482","1181"
"517","Warlord","2023-08","36704","1529","489","587"
"518","Warlord","2023-09","40979","1862","179","231"
"519","Warlord","2023-10","38453","2403","205","630"
"520","Warlord","2023-11","32215","1610","322","598"
"521","Warlord","2023-12","38641","2576","386","772"
"522","Warlord","2024-01","38843","1849","166","743"
"523","Warlord","2024-02","35439","2362","280","553"
"524","Warlord","2024-03","35734","2382","289","536"
"525","Warlord","2024-04","40085","1822","282","561"
"526","Warlord","2024-05","35600","1424","296","679"
"527","Warlord","2024-06","40012","1905","500","733"
"528","Warlord","2024-07","48341","1933","142","682"
"529","Xenomorph","2023-08","39453","1643","162","841"
"530","Xenomorph","2023-09","42352","2352","211","231"
"531","Xenomorph","2023-10","40999","2411","102","196"
"532","Xenomorph","2023-11","42337","1924","307","740"
"533","Xenomorph","2023-12","38298","2252","357","428"
"534","Xenomorph","2024-01","33559","1974","244","767"
"535","Xenomorph","2024-02","38976","1771","366","606"
"536","Xenomorph","2024-03","35641","1425","262","156"
"537","Xenomorph","2024-04","34794","2174","142","158"
"538","Xenomorph","2024-05","37661","2510","358","376"
"539","Xenomorph","2024-06","42457","2653","357","572"
"540","Xenomorph","2024-07","47974","2822","354","614"
"541","Yin Yang","2023-08","45499","1978","181","265"
"542","Yin Yang","2023-09","40717","1850","305","995"
"543","Yin Yang","2023-10","46924","2760","405","1290"
"544","Yin Yang","2023-11","44207","2947","552","884"
"545","Yin Yang","2023-12","39805","2095","424","723"
"546","Yin Yang","2024-01","38494","2264","91","267"
"547","Yin Yang","2024-02","35803","1704","89","634"
"548","Yin Yang","2024-03","40702","2394","351","318"
"549","Yin Yang","2024-04","47418","1975","274","341"
"550","Yin Yang","2024-05","47279","1891","260","341"
"551","Yin Yang","2024-06","49063","2453","388","387"
"552","Yin Yang","2024-07","52746","3296","305","316"
"553","Zero Hour","2023-08","25388","1057","101","328"
"554","Zero Hour","2023-09","27028","1501","101","218"
"555","Zero Hour","2023-10","24783","1239","61","123"
"556","Zero Hour","2023-11","21209","1247","137","279"
"557","Zero Hour","2023-12","20767","1384","232","443"
"558","Zero Hour","2024-01","26317","1315","225","137"
"559","Zero Hour","2024-02","23621","1073","123","459"
"560","Zero Hour","2024-03","21896","952","66","423"
"561","Zero Hour","2024-04","21718","904","203","472"
"562","Zero Hour","2024-05","27148","1696","195","328"
"563","Zero Hour","2024-06","24762","1179","188","484"
"564","Zero Hour","2024-07","32026","1334","194","167"
"565","Atomic Blast","2023-08","29641","1646","219","606"
"566","Atomic Blast","2023-09","33182","1843","232","358"
"567","Atomic Blast","2023-10","36116","1504","380","210"
"568","Atomic Blast","2023-11","32082","1336","76","452"
"569","Atomic Blast","2023-12","29249","1218","344","127"
"570","Atomic Blast","2024-01","28929","1446","231","450"
"571","Atomic Blast","2024-02","32822","1491","236","615"
"572","Atomic Blast","2024-03","34517","1816","409","835"
"573","Atomic Blast","2024-04","34983","1943","303","449"
"574","Atomic Blast","2024-05","28658","1791","229","370"
"575","Atomic Blast","2024-06","33568","1459","248","453"
"576","Atomic Blast","2024-07","44747","2130","422","391"
"577","Brutal Truth","2023-08","78407","4126","534","672"
"578","Brutal Truth","2023-09","99036","3961","450","873"
"579","Brutal Truth","2023-10","80815","3513","257","1949"
"580","Brutal Truth","2023-11","77823","4323","676","933"
"581","Brutal Truth","2023-12","101287","4823","714","445"
"582","Brutal Truth","2024-01","79732","4690","350","597"
"583","Brutal Truth","2024-02","82839","4141","331","1459"
"584","Brutal Truth","2024-03","78043","3121","918","1716"
"585","Brutal Truth","2024-04","99367","5520","632","1987"
"586","Brutal Truth","2024-05","99430","4971","1169","2237"
"587","Brutal Truth","2024-06","106817","5086","384","1068"
"588","Brutal Truth","2024-07","141166","5881","1333","3238"
"589","Carnage Inc","2023-08","31969","1332","116","339"
"590","Carnage Inc","2023-09","34464","1813","164","241"
"591","Carnage Inc","2023-10","32485","2165","185","339"
"592","Carnage Inc","2023-11","35994","1564","125","335"
"593","Carnage Inc","2023-12","41323","2174","303","319"
"594","Carnage Inc","2024-01","40502","1620","227","443"
"595","Carnage Inc","2024-02","41187","2059","313","320"
"596","Carnage Inc","2024-03","40399","1923","228","765"
"597","Carnage Inc","2024-04","32264","1402","70","691"
"598","Carnage Inc","2024-05","37397","1558","423","338"
"599","Carnage Inc","2024-06","44463","2615","277","666"
"600","Carnage Inc","2024-07","54979","2290","224","1151"
